scenario,date,days_before_crash,vix,realized_vol,volatility_score,liquidity_score,composite_score,risk_level
2020 COVID Market Crash,2020-02-15,30,14.5,12.0,15.0,25.0,19.0,Minimal
2020 COVID Market Crash,2020-03-02,14,33.4,42.0,68.5,12.5,46.1,Moderate
2020 COVID Market Crash,2020-03-09,7,54.5,68.0,84.0,75.0,80.4,Critical
2020 COVID Market Crash,2020-03-16,0,82.7,95.0,87.5,75.0,82.5,Critical
2020 COVID Market Crash,2020-03-23,-7,61.6,72.0,85.0,60.0,75.0,Critical
2022 Rate Hike Selloff,2022-05-13,30,28.8,35.0,55.0,12.5,38.0,Low
2022 Rate Hike Selloff,2022-05-30,14,27.5,42.0,69.0,12.5,46.4,Moderate
2022 Rate Hike Selloff,2022-06-06,7,31.2,48.0,70.0,60.0,66.0,High
2022 Rate Hike Selloff,2022-06-13,0,34.9,55.0,71.5,75.0,72.9,High
2022 Rate Hike Selloff,2022-06-20,-7,28.7,45.0,69.5,12.5,46.699999999999996,Moderate
